c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
c1,7,1,,,55,110,,90,20,200,130,15,90,,,,,20
